85.3447;600;0.025;0.0711338;
86.9991;600;0.025;1.74069e-10;
88.9991;600;0.025;3.43425e-09;
90.999;600;0.025;2.11003e-09;
92.9989;600;0.025;3.98722e-09;
94.9989;600;0.025;2.22644e-09;
96.9988;600;0.025;2.77942e-09;
98.9987;600;0.025;2.83762e-09;
100.999;600;0.025;3.72529e-09;
102.999;600;0.025;2.15368e-09;
104.998;600;0.025;4.62751e-09;
106.998;600;0.025;1.23691e-09;
108.998;600;0.025;4.62751e-09;
110.998;600;0.025;1.92085e-09;
112.998;600;0.025;1.81899e-09;
114.998;600;0.025;2.36469e-09;
116.998;600;0.025;3.73984e-09;
118.998;600;0.025;7.85803e-10;
120.998;600;0.025;4.05998e-09;
122.998;600;0.025;7.85803e-10;
124.997;600;0.025;2.46655e-09;
126.997;600;0.025;9.8953e-10;
128.997;600;0.025;1.38243e-09;
130.997;600;0.025;1.12777e-09;
132.997;600;0.025;2.05182e-09;
134.997;600;0.025;1.42609e-09;
136.997;600;0.025;3.31784e-09;
138.996;600;0.025;1.00408e-09;
140.996;600;0.025;1.89902e-09;
142.996;600;0.025;8.29459e-10;
144.996;600;0.025;1.01863e-09;
146.996;600;0.025;6.76664e-10;
148.996;600;0.025;1.55705e-09;
150.995;600;0.025;8.44011e-10;
152.995;600;0.025;2.88128e-09;
154.995;600;0.025;1.1205e-09;
156.995;600;0.025;1.04774e-09;
158.995;600;0.025;1.09139e-09;
160.994;600;0.025;5.82077e-10;
162.994;600;0.025;1.01863e-09;
164.994;600;0.025;1.00408e-09;
166.994;600;0.025;6.6575e-10;
168.994;600;0.025;1.49157e-09;
170.993;600;0.025;5.38421e-10;
172.993;600;0.025;9.74978e-10;
174.993;600;0.025;1.01136e-09;
176.993;600;0.025;1.01863e-09;
178.992;600;0.025;9.78616e-10;
180.992;600;0.025;8.14907e-10;
182.992;600;0.025;3.92902e-10;
