4;0.001;0
8;0.000949024;0.16
12;0.000854706;0.576
16;0.000730015;1.376
20;0.000584595;2.688
24;0.000426548;4.64
28;0.00026151;7.36
32;9.11546e-05;10.976
36;-9.32716e-05;15.616
