0;284.548
1000;256.468
2000;252.977
3000;249.708
4000;246.66
5000;243.83
6000;241.213
7000;238.805
8000;236.601
9000;234.592
10000;228.828
15000;221.307
20000;217.702
25000;216.04
30000;215.039
40000;214.451
50000;214.319
60000;214.284
70000;214.273
80000;214.271
