0.656868;0.581351;0.399546;0.213814;0.0892906;0.0291285;0.00740775;0.00145478;0.000206904;
19.8533;27.7054;22.3176;12.4272;5.0686;1.55247;0.360264;0.0630237;0.00818203;
191.265;90.2467;-112.807;-215.823;-179.755;-95.8371;-35.9785;-9.7366;-1.45024;
-9.18187;-5.03483;6.06939;10.9836;8.32938;3.96148;1.3075;0.305543;0.0299752;
9.19611;1.59966;-9.31314;-3.99519;7.68611;11.0344;7.19999;2.9666;0.8465;
-0.339806;0.307328;0.386134;-0.198235;-0.543077;-0.42832;-0.197402;-0.0604091;-0.0108096;
0.440718;-0.0122875;-0.455141;0.227986;0.413639;-0.20592;-0.554521;-0.413741;-0.183547;
-0.180937;-0.177691;0.348409;-0.113072;-0.302122;0.158862;0.394439;0.274161;0.117268;
-0.29373;0.0511953;0.250215;-0.342894;0.0727379;0.308867;-0.156775;-0.377959;-0.20142;
0.181789;0.119125;-0.35864;0.410229;-0.121158;-0.330952;0.24016;0.43574;0.223998;
